id;email;dni;nombre;apellido;telefono
1;donec@google.edu;HDP46OHW3MM;Sage;Williamson;1-634-749-3632
2;amet.risus@hotmail.org;CZA05DYM4US;Uriel;Landry;(166) 943-0653
3;fermentum.metus.aenean@aol.net;OQG47SPO8LY;Imelda;Lindsay;1-167-676-8313
4;proin.nisl@icloud.org;LBM66TNF4EG;Nash;Kelley;(610) 195-7133
5;sem.eget.massa@outlook.com;EWP58DCA1VQ;Hunter;Talley;1-308-555-8534
6;fermentum.convallis.ligula@yahoo.com;JVS47VBG1GU;Damon;George;1-724-485-0136
7;sed@outlook.com;YFP96TYG1DP;Slade;Espinoza;(862) 254-7017
8;ultrices.iaculis.odio@hotmail.com;RBD32ESB4GU;Lesley;Valenzuela;1-468-463-4662
9;nulla@icloud.edu;OEJ88RJQ0GV;Jacob;Haney;1-785-948-2033
10;cursus@google.net;SOP13XMO6VC;Colt;Skinner;296 837-9781
